32,512,32,32,130,130,130
32,32,48,32,255,255,255
48,32,48,512,130,130,130
48,512,32,512,255,255,255
64,512,64,32,130,130,130
64,32,96,32,255,255,255
96,32,96,512,130,130,130
96,512,64,512,255,255,255
112,512,112,32,130,130,130
112,32,208,32,255,255,255
208,32,192,512,130,130,130
192,512,112,512,255,255,255
208,512,224,32,130,130,130
224,32,368,32,255,255,255
368,32,368,512,130,130,130
368,512,208,512,255,255,255
384,512,384,32,130,130,130
384,32,512,32,255,255,255
512,32,512,512,130,130,130
512,512,384,512,255,255,255
